company,bucket,website,city,size_estimate,decision_maker,email,linkedin_instagram,product_trigger,why_cgi,visual_weakness,proposed_offer,estimated_budget,priority_score,portfolio_link,first_message_sent,follow_up_1,follow_up_2,status,notes
Fragile,B,https://www.fragile.cz,Praha,25,Studio,info@fragile.cz,instagram.com/fragilecz,Motion / design,Design studio - 3D subcontract,Small team,Agency 3D support,25k,4,https://richardandrys.com/?audience=agency,,,,new,Design studio overflow
BB Kovo,C,https://www.bbkovo.cz,Czech Republic,50,Sales / marketing,info@bbkovo.cz,linkedin.com/company/bb-kovo,Steel doors product line,Case study proves 3D works - expand assets,Already has some 3D - more variants,Industrial explainer,40k,5,https://richardandrys.com/?audience=brand,,,,new,Proven 3D ROI
Kovosvit,C,https://www.kovosvit.cz,Mlada Boleslav,100,Marketing,info@kovosvit.cz,linkedin.com/company/kovosvit,Machine tools,Czech machinery - weak digital presence,Traditional industrial photos,Industrial explainer,40k,4,https://richardandrys.com/?audience=brand,,,,new,Industrial sleeper
Vario CZ,C,https://www.vario.cz,Praha,30,Marketing,info@vario.cz,linkedin.com/company/vario,Modular buildings,Modular construction - 3D explains modules,Architectural viz opportunity,Industrial explainer,35k,4,https://richardandrys.com/?audience=brand,,,,new,Modular = 3D natural fit
Yoggies,A,https://www.yoggies.cz,Praha,15,Marketing,info@yoggies.cz,instagram.com/yoggiescz,Pet treats,Pet food launches = social + e-shop visuals,Photo-led pet content,Product visual sprint,25k,4,https://richardandrys.com/?audience=brand,,,,new,Czech pet treats
Purity Vision,A,https://www.purityvision.cz,Praha,20,Marketing,info@purityvision.cz,instagram.com/purityvision,Natural skincare,Skincare launches need key visuals,Clean but static imagery,Launch pack,25k,4,https://richardandrys.com/?audience=brand,,,,new,Natural cosmetics
Manufaktura,A,https://www.manufaktura.cz,Praha,80,Marketing team,info@manufaktura.cz,instagram.com/manufaktura_cz,Seasonal gift lines,Cosmetics + gifts = heavy campaign calendar,Traditional brand photography,Launch pack,35k,3,https://richardandrys.com/?audience=brand,,,,new,Mid-size brand
MyMicrobiome,A,https://mymicrobiome.cz,Praha,15,Founder / marketing,info@mymicrobiome.cz,instagram.com/mymicrobiome,Skincare education,Science skincare needs clean product CGI,Educational product shots,Product visual sprint,25k,4,https://richardandrys.com/?audience=brand,,,,new,Startup skincare
Anela,A,https://www.anela.cz,Praha,30,Marketing,info@anela.cz,instagram.com/anela_cz,Natural cosmetics,Cosmetics launches need key visuals,Mostly static imagery,Launch pack,25k,4,https://richardandrys.com/?audience=brand,,,,new,Natural cosmetics
MycoMedica,A,https://www.mycomedica.cz,Praha,15,Marketing,info@mycomedica.cz,instagram.com/mycomedica,Mushroom supplements,Niche supplements growing on social,Product education + packshots,Product visual sprint,25k,4,https://richardandrys.com/?audience=brand,,,,new,Supplement niche
La Boheme Cafe,A,https://www.labohme.cafe,Praha,15,Anastasia Kurenkova (marketing),info@labohme.cafe,instagram.com/labohmecafe,Specialty coffee,Cafe roastery with seasonal launches,Lifestyle heavy,Product visual sprint,25k,4,https://richardandrys.com/?audience=brand,,,,new,Marketing manager on LinkedIn
Loom,B,https://www.loom.cz,Praha,20,Production,info@loom.cz,linkedin.com/company/loom-cz,Video production,Video agency - VFX/3D overflow,Video-first,Shot finishing,30k,4,https://richardandrys.com/?audience=agency,,,,new,Video prod partner
Mustard,B,https://www.mustard.cz,Praha,15,Studio,info@mustard.cz,instagram.com/mustardcz,Motion design,Motion studio - 3D product shots,2D motion heavy,Agency 3D support,25k,4,https://richardandrys.com/?audience=agency,,,,new,Motion studio
Red Media,B,https://www.redmedia.cz,Brno,25,Production,info@redmedia.cz,linkedin.com/company/red-media,Video + digital,Brno agency - regional overflow,Video production,Agency 3D support,25k,4,https://richardandrys.com/?audience=agency,,,,new,Brno agency
SVJ CZ,C,https://www.svjczech.cz,Praha,40,Marketing,info@svjczech.cz,linkedin.com/company/svj-czech,HVAC / ventilation,Technical HVAC products,Sparse marketing visuals,Industrial explainer,35k,4,https://richardandrys.com/?audience=brand,,,,new,HVAC explainer
Orbit Merret,C,https://www.orbitmerret.cz,Praha,30,Marketing,info@orbitmerret.cz,linkedin.com/company/orbit-merret,Industrial equipment,Technical B2B products,Dated product pages,Industrial explainer,35k,4,https://richardandrys.com/?audience=brand,,,,new,B2B equipment
Sorm,C,https://www.sorm.cz,Praha,40,Marketing,info@sorm.cz,linkedin.com/company/sorm,Packaging machinery,Packaging machines for factories,Trade show focused,Industrial explainer,35k,4,https://richardandrys.com/?audience=brand,,,,new,Expo visuals
TOS Varnsdorf,C,https://www.tosvarnsdorf.cz,Varnsdorf,300,Marketing,info@tosvarnsdorf.cz,linkedin.com/company/tos-varnsdorf,Machine tools,Classic Czech machinery brand,Old-school web,Industrial explainer,40k,4,https://richardandrys.com/?audience=brand,,,,new,Industrial sleeper
Drywoodmesh,C,https://www.drywoodmesh.com,Ostrava,15,Owner,info@drywoodmesh.com,linkedin.com/company/drywoodmesh,Industrial mesh,Technical product - animation explains use,Basic web visuals,Industrial explainer,30k,4,https://richardandrys.com/?audience=brand,,,,new,Technical product
Profimed,A,https://www.profimed.cz,Olomouc,60,Marketing,info@profimed.cz,instagram.com/profimed,Oral care SKUs,Consumer health products need ad-ready visuals,Clinical photo style,Launch pack,35k,3,https://richardandrys.com/?audience=brand,,,,new,Oral care brand
Wolfberry,A,https://www.wolfberry.cz,Praha,40,Marketing,info@wolfberry.cz,instagram.com/wolfberrycz,Supplement catalog,Constant new products in e-shop,Standard packshots,Launch pack,30k,3,https://richardandrys.com/?audience=brand,,,,new,Supplement e-shop
Etnetera Active,B,https://www.etneteraactive.cz,Praha,40,Production,info@etneteraactive.cz,linkedin.com/company/etnetera-active,Digital campaigns,Digital agency with retail clients,Performance + brand,Agency 3D support,35k,3,https://richardandrys.com/?audience=agency,,,,new,E-commerce clients
Symbio,B,https://www.symbio.cz,Praha,50,Production,info@symbio.cz,linkedin.com/company/symbio,Digital production,Production house,May need VFX overflow,Shot finishing,30k,3,https://richardandrys.com/?audience=agency,,,,new,Production house
Colin and Co,B,https://www.colinandco.cz,Praha,15,Studio,info@colinandco.cz,instagram.com/colinandco,Brand films,Small film studio,VFX overflow,Agency 3D support,30k,4,https://richardandrys.com/?audience=agency,,,,new,Film studio partner
Kavovary Corretto,A,https://www.corretto.cz,Praha,10,Marketing,info@corretto.cz,instagram.com/correttocz,Espresso machines,Own-brand machines - CGI for web,Product photos only,Product visual sprint,30k,4,https://richardandrys.com/?audience=brand,,,,new,Appliance CGI
Vilgain,A,https://vilgain.com,Brno,200+,Marketing team,info@vilgain.com,instagram.com/vilgain,New protein lines,Bigger but Czech - own manufacturing,High volume catalog,Launch pack,50k,3,https://richardandrys.com/?audience=brand,,,,new,Stretch - one product line
Tedom,C,https://www.tedom.com,Libice nad Cidlinou,200,Marketing,info@tedom.com,linkedin.com/company/tedom,Cogeneration units,Energy tech - complex products,Technical drawings heavy,Industrial explainer,45k,3,https://richardandrys.com/?audience=brand,,,,new,Energy machinery
Elkov Elektro,C,https://www.elkov.cz,Hradec Kralove,80,Marketing,info@elkov.cz,linkedin.com/company/elkov,Electronics,Electronics for B2B + retail,Catalog photography,Industrial explainer,30k,3,https://richardandrys.com/?audience=brand,,,,new,Electronics
Kovolit,C,https://www.kovolit.cz,Mlada Boleslav,200,Marketing,info@kovolit.cz,linkedin.com/company/kovolit,Automotive castings,B2B automotive supplier,Almost no consumer visuals,Industrial explainer,40k,3,https://richardandrys.com/?audience=brand,,,,new,Automotive B2B
Green Idea,A,https://www.greenidea.cz,Praha,25,Marketing,info@greenidea.cz,instagram.com/greenidea,Eco household,Eco products need fresh visuals,Functional product shots,Product visual sprint,25k,3,https://richardandrys.com/?audience=brand,,,,new,Eco niche
Rock Point,A,https://www.rockpoint.cz,Praha,40,Marketing,info@rockpoint.cz,instagram.com/rockpointcz,Outdoor apparel,Seasonal outdoor campaigns,Mostly photo,Product visual sprint,30k,3,https://richardandrys.com/?audience=brand,,,,new,Outdoor retail
AZN kruh,B,https://www.azn.cz,Praha,30,Production,info@azn.cz,linkedin.com/company/azn-kruh,Brand films,Creative agency,Campaign-led,Agency 3D support,35k,3,https://richardandrys.com/?audience=agency,,,,new,Creative shop
Studio Marvil,B,https://www.studiomarvil.cz,Praha,15,Studio,info@studiomarvil.cz,instagram.com/studiomarvil,Brand design + motion,Small creative studio,Motion without full 3D,Agency 3D support,25k,4,https://richardandrys.com/?audience=agency,,,,new,Brand/motion
Outbreak,B,https://www.outbreak.cz,Praha,20,Studio,info@outbreak.cz,instagram.com/outbreakcz,Creative campaigns,Creative shop,Campaign bursts need 3D,Agency 3D support,30k,3,https://richardandrys.com/?audience=agency,,,,new,Creative campaigns
Degordian,B,https://www.degordian.com,Praha,80,Production,info@degordian.com,linkedin.com/company/degordian,Digital campaigns,Digital agency,May need 3D freelancers,Agency 3D support,40k,3,https://richardandrys.com/?audience=agency,,,,new,Mid-size digital
ComAp,C,https://www.comap-control.com,Praha,300,Marketing,info@comap.com,linkedin.com/company/comap,Generator controllers,Industrial controllers,Technical docs heavy,Industrial explainer,40k,3,https://richardandrys.com/?audience=brand,,,,new,Industrial electronics
Happy Dog,A,https://www.happydog.cz,Praha,25,Marketing,info@happydog.cz,instagram.com/happydogcz,Pet food SKUs,Pet products = e-commerce imagery,Standard pack photography,Launch pack,30k,3,https://richardandrys.com/?audience=brand,,,,new,Pet niche
Mlsna koza,A,https://www.mlsnakoza.cz,Praha,15,Marketing,info@mlsnakoza.cz,instagram.com/mlsnakoza,Snack products,Food e-shop with own products,Standard food photography,Product visual sprint,20k,3,https://richardandrys.com/?audience=brand,,,,new,Food brand
Fifty shades of privacy,A,https://www.fiftyshades.cz,Praha,10,Founder,info@fiftyshades.cz,instagram.com/fiftyshadesofprivacy,Design home products,Small design brand,Minimal visuals,Product visual sprint,20k,4,https://richardandrys.com/?audience=brand,,,,new,Small e-shop
Kratom World,A,https://www.kratomworld.cz,Praha,10,Marketing,info@kratomworld.cz,instagram.com/kratomworld,Supplement SKUs,Growing niche,Basic e-commerce shots,Launch pack,20k,3,https://richardandrys.com/?audience=brand,,,,new,Niche supplement
Meopta,C,https://www.meopta.com,Prerov,1500,Marketing,info@meopta.com,linkedin.com/company/meopta,Optics products,Optics = perfect CGI,Traditional marketing,Product visual sprint,45k,3,https://richardandrys.com/?audience=brand,,,,new,Bigger industrial
Jablotron,C,https://www.jablotron.com,Jablonec,500,Marketing,info@jablotron.com,linkedin.com/company/jablotron,Security systems,Consumer + B2B hardware,Functional not cinematic,Industrial explainer,40k,3,https://richardandrys.com/?audience=brand,,,,new,Hardware giant - one line
